K0_number	Gene_identification	Label
K08031	PAX6; paired box protein 6	PAX6; paired box protein 6
K16473	IFT20; intraflagellar transport protein 20	IFT20; intraflagellar transport protein 20
K02535	lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]	lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]
K04861	CACNA2D4; voltage-dependent calcium channel alpha-2/delta-4	CACNA2D4; voltage-dependent calcium channel alpha-2/delta-4
K03314	nhaB; Na+:H+ antiporter, NhaB family	nhaB; Na+:H+ antiporter, NhaB family
K06462	ITGAX, CD11c; integrin alpha X	ITGAX, CD11c; integrin alpha X
K08193	SLC17A; MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), other	SLC17A; MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), other
K09532	DNAJC12; DnaJ homolog subfamily C member 12	DNAJC12; DnaJ homolog subfamily C member 12
K18010	HCAR; 7-hydroxymethyl chlorophyll a reductase [EC:1.17.7.2]	HCAR; 7-hydroxymethyl chlorophyll a reductase [EC:1.17.7.2]
K07556	ATPeAF2, ATPAF2, ATP12; ATP synthase mitochondrial F1 complex assembly factor 2	ATPeAF2, ATPAF2, ATP12; ATP synthase mitochondrial F1 complex assembly factor 2
K11165	DHRS7; dehydrogenase/reductase SDR family member 7 [EC:1.1.-.-]	DHRS7; dehydrogenase/reductase SDR family member 7 [EC:1.1.-.-]
K04860	CACNA2D3; voltage-dependent calcium channel alpha-2/delta-3	CACNA2D3; voltage-dependent calcium channel alpha-2/delta-3
K14545	RRP7; ribosomal RNA-processing protein 7	RRP7; ribosomal RNA-processing protein 7
K10695	RNF1_2; E3 ubiquitin-protein ligase RNF1/2 [EC:2.3.2.27]	RNF1_2; E3 ubiquitin-protein ligase RNF1/2 [EC:2.3.2.27]
K04858	CACNA2D1; voltage-dependent calcium channel alpha-2/delta-1	CACNA2D1; voltage-dependent calcium channel alpha-2/delta-1
K00387	SUOX; sulfite oxidase [EC:1.8.3.1]	SUOX; sulfite oxidase [EC:1.8.3.1]
K09022	ridA, tdcF; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]	ridA, tdcF; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
K10638	UHRF1, NP95; E3 ubiquitin-protein ligase UHRF1 [EC:2.3.2.27]	UHRF1, NP95; E3 ubiquitin-protein ligase UHRF1 [EC:2.3.2.27]
K03316	TC.CPA1; monovalent cation:H+ antiporter, CPA1 family	TC.CPA1; monovalent cation:H+ antiporter, CPA1 family
K02503	HINT1, hinT, hit; histidine triad (HIT) family protein	HINT1, hinT, hit; histidine triad (HIT) family protein
K16755	CCDC61; coiled-coil domain-containing protein 61	CCDC61; coiled-coil domain-containing protein 61
K04566	lysK; lysyl-tRNA synthetase, class I [EC:6.1.1.6]	lysK; lysyl-tRNA synthetase, class I [EC:6.1.1.6]
K09478	ACADSB; short/branched chain acyl-CoA dehydrogenase [EC:1.3.99.12]	ACADSB; short/branched chain acyl-CoA dehydrogenase [EC:1.3.99.12]
K01091	gph; phosphoglycolate phosphatase [EC:3.1.3.18]	gph; phosphoglycolate phosphatase [EC:3.1.3.18]
K12591	RRP6, EXOSC10; exosome complex exonuclease RRP6 [EC:3.1.13.-]	RRP6, EXOSC10; exosome complex exonuclease RRP6 [EC:3.1.13.-]
K12615	EDC3; enhancer of mRNA-decapping protein 3	EDC3; enhancer of mRNA-decapping protein 3
K11445	KDM7A, JHDM1D; lysine-specific demethylase 7A [EC:1.14.11.-]	KDM7A, JHDM1D; lysine-specific demethylase 7A [EC:1.14.11.-]
K02564	nagB, GNPDA; glucosamine-6-phosphate deaminase [EC:3.5.99.6]	nagB, GNPDA; glucosamine-6-phosphate deaminase [EC:3.5.99.6]
K17403	MRPS24; small subunit ribosomal protein S24	MRPS24; small subunit ribosomal protein S24
K02190	cbiK; sirohydrochlorin cobaltochelatase [EC:4.99.1.3]	cbiK; sirohydrochlorin cobaltochelatase [EC:4.99.1.3]
K08905	psaG; photosystem I subunit V	psaG; photosystem I subunit V
K01356	lexA; repressor LexA [EC:3.4.21.88]	lexA; repressor LexA [EC:3.4.21.88]
K05791	terZ; tellurium resistance protein TerZ	terZ; tellurium resistance protein TerZ
K02374	PTPN13, FAP-1; tyrosine-protein phosphatase non-receptor type 13	PTPN13, FAP-1; tyrosine-protein phosphatase non-receptor type 13
K15438	AIMP2; aminoacyl tRNA synthase complex-interacting multifunctional protein 2	AIMP2; aminoacyl tRNA synthase complex-interacting multifunctional protein 2
K06249	RELN; reelin [EC:3.4.21.-]	RELN; reelin [EC:3.4.21.-]
K15544	SSU72; RNA polymerase II subunit A C-terminal domain phosphatase SSU72 [EC:3.1.3.16]	SSU72; RNA polymerase II subunit A C-terminal domain phosphatase SSU72 [EC:3.1.3.16]
K09874	NIP; aquaporin NIP	NIP; aquaporin NIP
K00649	GNPAT; glyceronephosphate O-acyltransferase [EC:2.3.1.42]	GNPAT; glyceronephosphate O-acyltransferase [EC:2.3.1.42]
K18819	GOLS; inositol 3-alpha-galactosyltransferase [EC:2.4.1.123]	GOLS; inositol 3-alpha-galactosyltransferase [EC:2.4.1.123]
K10276	FBXL10_11, KDM2; F-box and leucine-rich repeat protein 10/11 [EC:1.14.11.27]	FBXL10_11, KDM2; F-box and leucine-rich repeat protein 10/11 [EC:1.14.11.27]
K13956	IPP, KLHL27; actin-binding protein IPP	IPP, KLHL27; actin-binding protein IPP
K13617	PPME1; protein phosphatase methylesterase 1 [EC:3.1.1.89]	PPME1; protein phosphatase methylesterase 1 [EC:3.1.1.89]
K12878	THOC1; THO complex subunit 1	THOC1; THO complex subunit 1
K18162	NDUFAF5; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 [EC:2.1.1.-]	NDUFAF5; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 [EC:2.1.1.-]
K10435	MAP1LC; microtubule-associated protein 1 light chain	MAP1LC; microtubule-associated protein 1 light chain
K01621	xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]	xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]
K06041	kdsD, kpsF; arabinose-5-phosphate isomerase [EC:5.3.1.13]	kdsD, kpsF; arabinose-5-phosphate isomerase [EC:5.3.1.13]
K05036	SLC6A3; solute carrier family 6 (neurotransmitter transporter, dopamine) member 3	SLC6A3; solute carrier family 6 (neurotransmitter transporter, dopamine) member 3
K04725	XIAP, BIRC4; E3 ubiquitin-protein ligase XIAP [EC:2.3.2.27]	XIAP, BIRC4; E3 ubiquitin-protein ligase XIAP [EC:2.3.2.27]
K15170	MED27; mediator of RNA polymerase II transcription subunit 27	MED27; mediator of RNA polymerase II transcription subunit 27
K04804	CHRNA2; nicotinic acetylcholine receptor alpha-2	CHRNA2; nicotinic acetylcholine receptor alpha-2
K03938	NDUFS5; NADH dehydrogenase (ubiquinone) Fe-S protein 5	NDUFS5; NADH dehydrogenase (ubiquinone) Fe-S protein 5
K02160	accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein	accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein
K02160	accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein	Fatty acid biosynthesis
K00941	thiD; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]	thiD; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]
K16686	SAV1, Sav; scaffold protein salvador	SAV1, Sav; scaffold protein salvador
K12388	SORT1; sortilin	SORT1; sortilin
K08959	CSNK1D; casein kinase 1, delta [EC:2.7.11.1]	CSNK1D; casein kinase 1, delta [EC:2.7.11.1]
K05931	CARM1, PRMT4; type I protein arginine methyltransferase [EC:2.1.1.319]	CARM1, PRMT4; type I protein arginine methyltransferase [EC:2.1.1.319]
K05725	PTK2, FAK; focal adhesion kinase 1 [EC:2.7.10.2]	PTK2, FAK; focal adhesion kinase 1 [EC:2.7.10.2]
K01276	DPP7; dipeptidyl-peptidase II [EC:3.4.14.2]	DPP7; dipeptidyl-peptidase II [EC:3.4.14.2]
K19703	FA2H, SCS7; 4-hydroxysphinganine ceramide fatty acyl 2-hydroxylase [EC:1.14.18.6]	FA2H, SCS7; 4-hydroxysphinganine ceramide fatty acyl 2-hydroxylase [EC:1.14.18.6]
K06178	rluB; 23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]	rluB; 23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]
K13577	SLC25A10, DIC; solute carrier family 25 (mitochondrial dicarboxylate transporter), member 10	SLC25A10, DIC; solute carrier family 25 (mitochondrial dicarboxylate transporter), member 10
K02714	psbM; photosystem II PsbM protein	psbM; photosystem II PsbM protein
K00907	MYLK; myosin-light-chain kinase [EC:2.7.11.18]	MYLK; myosin-light-chain kinase [EC:2.7.11.18]
K17599	TMEM132; transmembrane protein 132	TMEM132; transmembrane protein 132
K02601	nusG; transcriptional antiterminator NusG	nusG; transcriptional antiterminator NusG
K01814	hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]	hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]
K14785	ESF2, ABT1; ESF2/ABP1 family protein	ESF2, ABT1; ESF2/ABP1 family protein
K15746	crtZ; beta-carotene 3-hydroxylase [EC:1.14.13.129]	crtZ; beta-carotene 3-hydroxylase [EC:1.14.13.129]
K03809	wrbA; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	wrbA; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
K12896	SFRS7; splicing factor, arginine/serine-rich 7	SFRS7; splicing factor, arginine/serine-rich 7
K09026	NPAS2; neuronal PAS domain-containing protein 2	NPAS2; neuronal PAS domain-containing protein 2
K02296	ARNTL, BMAL1, CYC; aryl hydrocarbon receptor nuclear translocator-like protein 1	ARNTL, BMAL1, CYC; aryl hydrocarbon receptor nuclear translocator-like protein 1
K13175	THOC6; THO complex subunit 6	THOC6; THO complex subunit 6
K05760	PXN; paxillin	PXN; paxillin
K09219	SCRT; scratch	SCRT; scratch
K02256	COX1; cytochrome c oxidase subunit 1 [EC:1.9.3.1]	COX1; cytochrome c oxidase subunit 1 [EC:1.9.3.1]
K08665	HPN; hepsin [EC:3.4.21.106]	HPN; hepsin [EC:3.4.21.106]
K17785	IMMT, FCJ1, MNOS2; mitofilin	IMMT, FCJ1, MNOS2; mitofilin
K14560	IMP3; U3 small nucleolar ribonucleoprotein protein IMP3	IMP3; U3 small nucleolar ribonucleoprotein protein IMP3
K11265	ADCY10; adenylate cyclase 10 [EC:4.6.1.1]	ADCY10; adenylate cyclase 10 [EC:4.6.1.1]
K11128	GAR1, NOLA1; H/ACA ribonucleoprotein complex subunit 1	GAR1, NOLA1; H/ACA ribonucleoprotein complex subunit 1
K09775	K09775; uncharacterized protein	K09775; uncharacterized protein
K18025	PTPN14_21; tyrosine-protein phosphatase non-receptor type 14/21 [EC:3.1.3.48]	PTPN14_21; tyrosine-protein phosphatase non-receptor type 14/21 [EC:3.1.3.48]
K05613	SLC1A2, EAAT2; solute carrier family 1 (glial high affinity glutamate transporter), member 2	SLC1A2, EAAT2; solute carrier family 1 (glial high affinity glutamate transporter), member 2
K10134	EI24; etoposide-induced 2.4 mRNA	EI24; etoposide-induced 2.4 mRNA
K07605	KRT2; type II keratin, basic	KRT2; type II keratin, basic
K09552	SPG7; spastic paraplegia 7 [EC:3.4.24.-]	SPG7; spastic paraplegia 7 [EC:3.4.24.-]
K18999	CPL3_4; RNA polymerase II C-terminal domain phosphatase-like 3/4 [EC:3.1.3.16]	CPL3_4; RNA polymerase II C-terminal domain phosphatase-like 3/4 [EC:3.1.3.16]
K07905	RAB11B; Ras-related protein Rab-11B	RAB11B; Ras-related protein Rab-11B
K02878	RP-L16, MRPL16, rplP; large subunit ribosomal protein L16	RP-L16, MRPL16, rplP; large subunit ribosomal protein L16
K05283	PIGW; phosphatidylinositol glycan, class W [EC:2.3.-.-]	PIGW; phosphatidylinositol glycan, class W [EC:2.3.-.-]
K14395	ACP6; lysophosphatidic acid phosphatase type 6 [EC:3.1.3.2]	ACP6; lysophosphatidic acid phosphatase type 6 [EC:3.1.3.2]
K00479	K00479; Rieske 2Fe-2S family protein	K00479; Rieske 2Fe-2S family protein
K09047	CREB5, CREBPA; cyclic AMP-responsive element-binding protein 5	CREB5, CREBPA; cyclic AMP-responsive element-binding protein 5
K08508	SNAP23; synaptosomal-associated protein 23	SNAP23; synaptosomal-associated protein 23
K08851	TP53RK, PRPK, BUD32; TP53 regulating kinase and related kinases [EC:2.7.11.1]	TP53RK, PRPK, BUD32; TP53 regulating kinase and related kinases [EC:2.7.11.1]
K07928	RAB40; Ras-related protein Rab-40	RAB40; Ras-related protein Rab-40
K10426	DCTN4; dynactin 4	DCTN4; dynactin 4
K10158	B3GAT3; galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 [EC:2.4.1.135]	B3GAT3; galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 [EC:2.4.1.135]
K08958	CSNK1G; casein kinase 1, gamma [EC:2.7.11.1]	CSNK1G; casein kinase 1, gamma [EC:2.7.11.1]
K12841	CHERP; calcium homeostasis endoplasmic reticulum protein	CHERP; calcium homeostasis endoplasmic reticulum protein
K12844	PRPF31; U4/U6 small nuclear ribonucleoprotein PRP31	PRPF31; U4/U6 small nuclear ribonucleoprotein PRP31
K01633	folB; dihydroneopterin aldolase / 7,8-dihydroneopterin epimerase [EC:4.1.2.25 5.1.99.8]	folB; dihydroneopterin aldolase / 7,8-dihydroneopterin epimerase [EC:4.1.2.25 5.1.99.8]
K13123	GPATCH1; G patch domain-containing protein 1	GPATCH1; G patch domain-containing protein 1
K11974	RNF31, HOIP; E3 ubiquitin-protein ligase RNF31 [EC:2.3.2.27]	RNF31, HOIP; E3 ubiquitin-protein ligase RNF31 [EC:2.3.2.27]
K11989	IHH; indian hedgehog	IHH; indian hedgehog
K07007	K07007; uncharacterized protein	K07007; uncharacterized protein
K04608	GRM6_7_8; metabotropic glutamate receptor 6/7/8	GRM6_7_8; metabotropic glutamate receptor 6/7/8
K14300	NUP133; nuclear pore complex protein Nup133	NUP133; nuclear pore complex protein Nup133
K07763	MMP14; matrix metalloproteinase-14 (membrane-inserted) [EC:3.4.24.80]	MMP14; matrix metalloproteinase-14 (membrane-inserted) [EC:3.4.24.80]
K12172	RANBP2, NUP358; E3 SUMO-protein ligase RanBP2	RANBP2, NUP358; E3 SUMO-protein ligase RanBP2
K05202	GRIK2; glutamate receptor, ionotropic kainate 2	GRIK2; glutamate receptor, ionotropic kainate 2
K10692	LNX1_2; ligand of Numb protein X 1/2 [EC:2.3.2.27]	LNX1_2; ligand of Numb protein X 1/2 [EC:2.3.2.27]
K11228	STE11; mitogen-activated protein kinase kinase kinase [EC:2.7.11.25]	STE11; mitogen-activated protein kinase kinase kinase [EC:2.7.11.25]
K10684	UBLE1A, SAE1; ubiquitin-like 1-activating enzyme E1 A [EC:6.2.1.45]	UBLE1A, SAE1; ubiquitin-like 1-activating enzyme E1 A [EC:6.2.1.45]
K12494	PSD; PH and SEC7 domain-containing protein	PSD; PH and SEC7 domain-containing protein
K19041	RNF38_44; E3 ubiquitin-protein ligase RNF38/44 [EC:2.3.2.27]	RNF38_44; E3 ubiquitin-protein ligase RNF38/44 [EC:2.3.2.27]
K00357	QDPR; dihydropteridine reductase [EC:1.5.1.34]	QDPR; dihydropteridine reductase [EC:1.5.1.34]
K05112	EPHB3, HEK2, ETK2; Eph receptor B3 [EC:2.7.10.1]	EPHB3, HEK2, ETK2; Eph receptor B3 [EC:2.7.10.1]
K06640	ATR; serine/threonine-protein kinase ATR [EC:2.7.11.1]	ATR; serine/threonine-protein kinase ATR [EC:2.7.11.1]
K04403	MAP3K7IP1, TAB1; TAK1-binding protein 1	MAP3K7IP1, TAB1; TAK1-binding protein 1
K17975	KTN1; kinectin	KTN1; kinectin
K14301	NUP107, NUP84; nuclear pore complex protein Nup107	NUP107, NUP84; nuclear pore complex protein Nup107
K02207	UBE2R, UBC3, CDC34; ubiquitin-conjugating enzyme E2 R [EC:2.3.2.23]	UBE2R, UBC3, CDC34; ubiquitin-conjugating enzyme E2 R [EC:2.3.2.23]
K00767	nadC, QPRT; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]	nadC, QPRT; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]
K10571	DET1; de-etiolated-1	DET1; de-etiolated-1
K06182	rluF; 23S rRNA pseudouridine2604 synthase [EC:5.4.99.21]	rluF; 23S rRNA pseudouridine2604 synthase [EC:5.4.99.21]
K00597	MTRR; methionine synthase reductase [EC:1.16.1.8]	MTRR; methionine synthase reductase [EC:1.16.1.8]
K00147	proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K06030	MFN; mitofusin [EC:3.6.5.-]	MFN; mitofusin [EC:3.6.5.-]
K03772	fkpA; FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]	fkpA; FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]
K09114	MXD, MAD; MAX dimerization protein	MXD, MAD; MAX dimerization protein
K16307	CDC42BP; serine/threonine-protein kinase MRCK [EC:2.7.11.1]	CDC42BP; serine/threonine-protein kinase MRCK [EC:2.7.11.1]
K12394	AP1S1_2; AP-1 complex subunit sigma 1/2	AP1S1_2; AP-1 complex subunit sigma 1/2
K06176	truD, PUS7; tRNA pseudouridine13 synthase [EC:5.4.99.27]	truD, PUS7; tRNA pseudouridine13 synthase [EC:5.4.99.27]
K07921	RAB34; Ras-related protein Rab-34	RAB34; Ras-related protein Rab-34
K00714	WNT8; wingless-type MMTV integration site family, member 8	WNT8; wingless-type MMTV integration site family, member 8
K11727	SMARCA1, SNF2L; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 1 [EC:3.6.4.-]	SMARCA1, SNF2L; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 1 [EC:3.6.4.-]
K04837	SCN4A; voltage-gated sodium channel type IV alpha	SCN4A; voltage-gated sodium channel type IV alpha
K16673	LIX1L; LIX1-like protein	LIX1L; LIX1-like protein
K04543	GNG7; guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7	GNG7; guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7
K01311	CTRC; chymotrypsin C [EC:3.4.21.2]	CTRC; chymotrypsin C [EC:3.4.21.2]
K14426	SLC12A3, TSC; solute carrier family 12 (sodium/chloride transporter), member 3	SLC12A3, TSC; solute carrier family 12 (sodium/chloride transporter), member 3
K01403	MMP9; matrix metalloproteinase-9 (gelatinase B) [EC:3.4.24.35]	MMP9; matrix metalloproteinase-9 (gelatinase B) [EC:3.4.24.35]
K13250	SSR2; translocon-associated protein subunit beta	SSR2; translocon-associated protein subunit beta
K02923	RP-L38e, RPL38; large subunit ribosomal protein L38e	RP-L38e, RPL38; large subunit ribosomal protein L38e
K18826	CAMKMT; calmodulin-lysine N-methyltransferase [EC:2.1.1.60]	CAMKMT; calmodulin-lysine N-methyltransferase [EC:2.1.1.60]
K03857	PIGA, GPI3; phosphatidylinositol glycan, class A [EC:2.4.1.198]	PIGA, GPI3; phosphatidylinositol glycan, class A [EC:2.4.1.198]
K10485	BTBD13, GMCL1, GCL; BTB/POZ domain-containing protein 13 (germ cell-less protein-like 1)	BTBD13, GMCL1, GCL; BTB/POZ domain-containing protein 13 (germ cell-less protein-like 1)
K17083	FERMT2, KIND2; kindlin 2	FERMT2, KIND2; kindlin 2
K17422	MRPL41; large subunit ribosomal protein L41	MRPL41; large subunit ribosomal protein L41
K15144	MED1; mediator of RNA polymerase II transcription subunit 1	MED1; mediator of RNA polymerase II transcription subunit 1
K01479	hutG; formiminoglutamase [EC:3.5.3.8]	hutG; formiminoglutamase [EC:3.5.3.8]
K00139	ALDH5A1; succinate-semialdehyde dehydrogenase [EC:1.2.1.24]	ALDH5A1; succinate-semialdehyde dehydrogenase [EC:1.2.1.24]
K10900	WRN, RECQL2; werner syndrome ATP-dependent helicase [EC:3.6.4.12]	WRN, RECQL2; werner syndrome ATP-dependent helicase [EC:3.6.4.12]
K05694	PTPRB, PTPB; receptor-type tyrosine-protein phosphatase beta [EC:3.1.3.48]	PTPRB, PTPB; receptor-type tyrosine-protein phosphatase beta [EC:3.1.3.48]
K00748	lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]	lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]
K02438	glgX; glycogen debranching enzyme [EC:3.2.1.196]	glgX; glycogen debranching enzyme [EC:3.2.1.196]
K15048	KALRN; kalirin [EC:2.7.11.1]	KALRN; kalirin [EC:2.7.11.1]
K19949	OTOF; otoferlin	OTOF; otoferlin
K16781	TTC8, BBS8; tetratricopeptide repeat protein 8	TTC8, BBS8; tetratricopeptide repeat protein 8
K14997	SLC38A11; solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 11	SLC38A11; solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 11
K02994	RP-S8, rpsH; small subunit ribosomal protein S8	RP-S8, rpsH; small subunit ribosomal protein S8
K11991	tadA; tRNA(adenine34) deaminase [EC:3.5.4.33]	tadA; tRNA(adenine34) deaminase [EC:3.5.4.33]
K10891	FANCD2; fanconi anemia group D2 protein	FANCD2; fanconi anemia group D2 protein
K03842	ALG1; beta-1,4-mannosyltransferase [EC:2.4.1.142]	ALG1; beta-1,4-mannosyltransferase [EC:2.4.1.142]
K00736	MGAT2; alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.143]	MGAT2; alpha-1,6-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.143]
K02130	ATPeF0F, ATP5J2; F-type H+-transporting ATPase subunit f	ATPeF0F, ATP5J2; F-type H+-transporting ATPase subunit f
K06569	MFI2, CD228; melanoma-associated antigen p97	MFI2, CD228; melanoma-associated antigen p97
K00254	DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]	DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]
K08822	GSK3A; glycogen synthase kinase 3 alpha [EC:2.7.11.26]	GSK3A; glycogen synthase kinase 3 alpha [EC:2.7.11.26]
K06855	MAPK4_6; mitogen-activated protein kinase 4/6 [EC:2.7.11.24]	MAPK4_6; mitogen-activated protein kinase 4/6 [EC:2.7.11.24]
K19530	JPH; junctophilin	JPH; junctophilin
K11728	BPTF, E(bx); nucleosome-remodeling factor subunit BPTF	BPTF, E(bx); nucleosome-remodeling factor subunit BPTF
K01217	IDUA; L-iduronidase [EC:3.2.1.76]	IDUA; L-iduronidase [EC:3.2.1.76]
K15129	MED8; mediator of RNA polymerase II transcription subunit 8	MED8; mediator of RNA polymerase II transcription subunit 8
K17419	MRPL38; large subunit ribosomal protein L38	MRPL38; large subunit ribosomal protein L38
K09867	AQP5; aquaporin-5	AQP5; aquaporin-5
K02072	metI; D-methionine transport system permease protein	metI; D-methionine transport system permease protein
K13726	MEPB; metallopeptidase MepB [EC:3.4.24.-]	MEPB; metallopeptidase MepB [EC:3.4.24.-]
K01184	E3.2.1.15; polygalacturonase [EC:3.2.1.15]	E3.2.1.15; polygalacturonase [EC:3.2.1.15]
K11461	SCMH1; polycomb protein SCMH1	SCMH1; polycomb protein SCMH1
K06894	K06894; uncharacterized protein	K06894; uncharacterized protein
